"orig_name","clean_name","match_cos","gvkey","cos_score"
"CROWLEY MARITIME CORPORATION","crowley maritime corp","CROWLEY MARITIME CORP",63301,100
"CROWLEY MARITIME CORPORATION FEDERAL PAC","crowley maritime corp federal pac","CROWLEY MARITIME CORP",63301,84.3725808868
"Crown Holdings Inc. PAC","crown holdings inc pac","CROWN HOLDINGS INC",3619,92.3089132687
"CROWN ZELLERBACH COPORATION","crown zellerbach coporation","CROWN ZELLERBACH",3627,85.7298987926
"CRSS INC","crss inc","CRSS INC",2569,100
"CRUM AND FORSTER INC","crum & forster inc","CRUM & FORSTER",3631,98.3793155866
"CRYOLIFE INC","cryolife inc","CRYOLIFE INC",27823,100
"CryoLife Inc.","cryolife inc","CRYOLIFE INC",27823,100
"CRYOLIFE, INC.","cryolife inc","CRYOLIFE INC",27823,100
"CSX Corporation","csx corp","CSX CORP",2574,100
"CSX CORPORATION","csx corp","CSX CORP",2574,100
"CUBIC CORP","cubic corp","CUBIC CORP",3639,100
"Cubic Corporation","cubic corp","CUBIC CORP",3639,100
"CUBIC CORPORATION","cubic corp","CUBIC CORP",3639,100
"CUBIST PHARMACEUTICALS INC","cubist pharmaceuticals inc","CUBIST PHARMACEUTICALS INC",63866,100
"CUBIST PHARMACEUTICALS INC.","cubist pharmaceuticals inc","CUBIST PHARMACEUTICALS INC",63866,100
"CUMBERLAND FARMS INC","cumberland farms inc","CUMBERLAND FARMS INC  -CL A",64892,94.2277193654
"CUMMINS INC","cummins inc","CUMMINS INC",3650,100
"CUMMINS INC.","cummins inc","CUMMINS INC",3650,100
"Curtiss-Wright Corporation","curtiss wright corp","CURTISS-WRIGHT CORP",3662,100
"CURTISS-WRIGHT CORPORATION","curtiss wright corp","CURTISS-WRIGHT CORP",3662,100
"CURTISS WRIGHT CORPORATION","curtiss wright corp","CURTISS-WRIGHT CORP",3662,100
"CVS HEALTH","cvs health","CVS HEALTH CORP",7241,96.5483949313
"CYCLOPS CORPORATION","cyclops corp","CYCLOPS CORP",3675,100
"CYPRUS AMAX MINERALS COMPANY","cyprus amax minerals co","CYPRUS AMAX MINERALS CO",11993,100
"CYPRUS MINERALS COMPANY","cyprus minerals co","CYPRUS AMAX MINERALS CO",11993,88.0583121033
"DAIRY MART CONVENIENCE STORES, INC.","dairy mart convenience stores inc","DAIRY MART CONVENIENCE STRS",3713,86.9992937283
"DALEN RESOURCES CORP","dalen resources corp","DALECO RESOURCES CORP",10994,82.120162796
"DAN RIVER INC","dan river inc","DAN RIVER INC  -OLD",3733,88.5602803919
"DANA CORPORATION","dana corp","DANA INC",3734,87.9871238989
"DANIEL INDUSTRIES INC","daniel industries inc","DANIEL INDUSTRIES",3736,98.6823509014
"DANIELS & ASSOCIATES INC","daniels & associates inc","DANIELS & ASSOCIATES INC",15336,100
"DANIELS & ASSOCIATES, INC","daniels & associates inc","DANIELS & ASSOCIATES INC",15336,100
"DARDEN RESTAURANTS INC","darden restaurants inc","DARDEN RESTAURANTS INC",31846,100
"DARDEN RESTAURANTS, INC.","darden restaurants inc","DARDEN RESTAURANTS INC",31846,100
"DAVITA","davita","DAVITA INC",61483,97.7321404132
"DaVita Inc.","davita inc","DAVITA INC",61483,100
"DAVITA INC.","davita inc","DAVITA INC",61483,100
"DAVITA, INC.","davita inc","DAVITA INC",61483,100
"DAY INTERNATIONAL CORPORATION","day intl corp","DAY INTERNATIONAL INC",3810,90.4648607256
"DAYTON POWER & LIGHT CO","dayton power & light co","DAYTON POWER & LIGHT INC",12612,97.4856224392
"DAYTON POWER AND LIGHT COMPANY","dayton power & light co","DAYTON POWER & LIGHT INC",12612,97.4856224392
"DBT ONLINE INC","dbt online inc","DBT ONLINE INC",63509,100
"DEAN FOODS","dean foods","DEAN FOODS CO",62655,96.8583651698
"Dean Foods Company","dean foods co","DEAN FOODS CO",62655,100
"DEAN FOODS COMPANY","dean foods co","DEAN FOODS CO",62655,100
"DEAN WITTER REYNOLDS ORGANIZATION INC","dean witter reynolds org","DEAN WITTER REYNOLDS ORG INC",3823,99.2756880461
"Deere & Company","deere & co","DEERE & CO",3835,100
"DEERE & COMPANY","deere & co","DEERE & CO",3835,100
"DEL E WEBB CORPORATION","del e webb corp","WEBB (DEL E) CORP",11328,100
"Del Webb Corporation","del webb corp","WEBB (DEL E) CORP",11328,93.5528881255
"DEL WEBB CORPORATION","del webb corp","WEBB (DEL E) CORP",11328,93.5528881255
"DELAWARE OTSEGO CORPORATION","delaware otsego corp","DELAWARE OTSEGO CORP",12692,100
"DELCHAMPS INC","delchamps inc","DELCHAMPS INC",3844,100
"DELHAIZE AMERICA, LLC","delhaize america llc","DELHAIZE AMERICA INC",4828,91.8523705579
"DELL TECHNOLOGIES","dell technologies","DELL TECHNOLOGIES INC",14489,98.4950788207
"DELMARVA POWER & LIGHT CO","delmarva power & light co","DELMARVA POWER & LIGHT CO",114789,100
"DELPHI AUTOMOTIVE SYSTEMS CORPORATION","delphi automotive systems corp","DELPHI AUTOMOTIVE PLC",118122,81.546133909
"DELPHI CORPORATION","delphi corp","DELPHI ENERGY CORP",65918,84.7545799147
"DELPHI FINANCIAL GROUP INC","delphi financial group inc","DELPHI FINANCIAL GROUP INC",21061,100
"DELTA AIR LINES","delta air lines","DELTA AIR LINES INC",3851,98.6857621855
"DELTA AIR LINES INC","delta air lines inc","DELTA AIR LINES INC",3851,100
"DELTA AIR LINES, INC.","delta air lines inc","DELTA AIR LINES INC",3851,100
"DELTAUS CORPORATION","deltaus corp","DELTAUS CORP",3858,100
"DENBURY RESOURCES INC","denbury resources inc","DENBURY RESOURCES INC",20653,100
"DENBURY RESOURCES INC.","denbury resources inc","DENBURY RESOURCES INC",20653,100
"DENELCOR INC","denelcor inc","DENELCOR INC",3866,100
"DEPOSIT GUARANTY CORP","deposit guaranty corp","DEPOSIT GUARANTY CORP",3878,100
"DEPOSIT GUARANTY NATIONAL BANK","deposit guaranty national bank","DEPOSIT GUARANTY CORP",3878,83.6912356819
"DESTEC ENERGY INC","destec energy inc","DESTEC ENERGY INC",23743,100
"DETROIT EDISON COMPANY","detroit edison co","DETROIT EDISON CO",65089,100
"Devon Energy Corporation","devon energy corp","DEVON ENERGY CORP",14934,100
"DEVON ENERGY CORPORATION","devon energy corp","DEVON ENERGY CORP",14934,100
"DEXTER CORPORATION","dexter corp","DEXTER CORP",3911,100
"DEXTER CORPORATION; THE","dexter corp the","DEXTER CORP",3911,86.8192899662
"DIAL CORP","dial corp","DIAL CORP",3919,100
"DIAL CORPORATION","dial corp","DIAL CORP",3919,100
"DIAMOND FOODS INC","diamond foods inc","DIAMOND FOODS INC",163627,100
"DIAMOND SHAMROCK CORPORATION","diamond shamrock corp","DIAMOND SHAMROCK INC",13587,96.9509775502
"DIGIMARC CORPORATION","digimarc corp","DIGIMARC CORP",181290,100
"DIGITALGLOBE INC","digitalglobe inc","DIGITALGLOBE INC",180029,100
"DigitalGlobe, Inc.","digitalglobe inc","DIGITALGLOBE INC",180029,100
"DIGITALGLOBE, INC.","digitalglobe inc","DIGITALGLOBE INC",180029,100
"DINEEQUITY, INC.","dineequity inc","DINEEQUITY INC",24291,100
"Direct Marketing Association","direct marketing association","DIRECT ACTION MARKETING INC",3975,81.914485983
"DIRECT MARKETING ASSOCIATION","direct marketing association","DIRECT ACTION MARKETING INC",3975,81.914485983
"DISH NETWORK CORPORATION","dish network corp","DISH NETWORK CORP",60900,100
"DIXIE GROUP INC, THE","dixie group inc the","DIXIE GROUP INC",4001,91.8095857445
"DOLLAR FINANCIAL GROUP INC","dollar financial group inc","DOLLAR FINANCIAL GROUP INC",146200,100
"DOLLAR THRIFTY AUTOMOTIVE GROUP INC","dollar thrifty automotive group inc","DOLLAR THRIFTY AUTOMOTIVE GP",66061,90.0072834354
"DOMINICK'S FINER FOODS INC","dominicks finer foods inc","DOMINICKS FINER FOODS INC",63597,100
"Dominion","dominion","DOMINION ENERGY INC",4029,81.0403223108
"DOMINION","dominion","DOMINION ENERGY INC",4029,81.0403223108
"DOMINION BANKSHARES CORPORATION","dominion bankshares corp","DOMINION BANKSHARES CORP",4025,100
"DOMINION BANKSHARES CORPORATION PAC","dominion bankshares corp pac","DOMINION BANKSHARES CORP",4025,94.2580072948
"Domino's Pizza LLC","dominos pizza llc","DOMINO'S PIZZA INC",160211,91.9324102006
"DOMINO'S PIZZA LLC","dominos pizza llc","DOMINO'S PIZZA INC",160211,91.9324102006
"DONALDSON CO INC","donaldson co inc","DONALDSON CO INC",4036,100
"DONALDSON CO, INC","donaldson co inc","DONALDSON CO INC",4036,100
"DONALDSON LUFKIN & JENRETTE INC","donaldson lufkin & jenrette inc","DONALDSON LUFKIN & JENRETTE",4037,99.5304126282
"DONALDSON LUFKIN & JENRETTE, INC","donaldson lufkin & jenrette inc","DONALDSON LUFKIN & JENRETTE",4037,99.5304126282
"DONNELLY","donnelly","DONNELLY CORP",14462,96.2781988651
"Dow Corning Corporation","dow corning corp","DOW CORNING CORP",4061,100
"DOW CORNING CORPORATION","dow corning corp","DOW CORNING CORP",4061,100
"DPL INC","dpl inc","DPL INC",3814,100
"DR PEPPER COMPANY","dr pepper co","DR PEPPER CO",14932,100
"DR PEPPER SNAPPLE GROUP","dr pepper snapple group","DR PEPPER SNAPPLE GROUP INC",179700,99.314097054
"DRAVO CORPORATION","dravo corp","DRAVO CORP",4069,100
"DRESSER-RAND COMPANY","dresser rand co","DRESSER-RAND GROUP INC",163948,83.7400575182
"DRESSER INDUSTRIES INC","dresser industries inc","DRESSER INDUSTRIES INC",4073,100
"DRESSER INDUSTRIES, INC","dresser industries inc","DRESSER INDUSTRIES INC",4073,100
"DRS TECHNOLOGIES","drs technologies","DRS TECHNOLOGIES INC",3918,98.5344465785
"DRS Technologies Inc.","drs technologies inc","DRS TECHNOLOGIES INC",3918,100
"DRS TECHNOLOGIES INC.","drs technologies inc","DRS TECHNOLOGIES INC",3918,100
"DRS TECHNOLOGIES, INC.","drs technologies inc","DRS TECHNOLOGIES INC",3918,100
"DRUGSTORE.COM INC","drugstorecom inc","DRUGSTORE.COM INC",122355,100
"DSC COMMUNICATIONS CORP","dsc communications corp","DSC COMMUNICATIONS CORP",3705,100
"DTE Energy Company","dte energy co","DTE ENERGY CO",3897,100
"DTE ENERGY COMPANY","dte energy co","DTE ENERGY CO",3897,100
"Duke Energy Corporation","duke energy corp","DUKE ENERGY CORP",4093,100
"DUKE ENERGY CORPORATION","duke energy corp","DUKE ENERGY CORP",4093,100
"DUKE ENERGY CORPORATION PAC","duke energy corp pac","DUKE ENERGY CORP",4093,92.7771115625
"DUN & BRADSTREET CORPORATION","dun & bradstreet corp","DUN & BRADSTREET CORP",4094,100
"DUNKIN' BRANDS, INC.","dunkin brands inc","DUNKIN' BRANDS GROUP INC",174222,91.8570998993
"DUNKIN' DONUTS OF AMERICA INC","dunkin donuts of america inc","DUNKIN DONUTS INC",4098,90.1487883328
"DUNKIN BRANDS INC","dunkin brands inc","DUNKIN' BRANDS GROUP INC",174222,91.8570998993
"Duquesne Light Company","duquesne light co","DUQUESNE LIGHT CO",24869,100
"DUQUESNE LIGHT COMPANY","duquesne light co","DUQUESNE LIGHT CO",24869,100
"DYNAMICS RESEARCH CORPORATION","dynamics research corp","DYNAMICS RESEARCH CORP",4127,100
"DYNCORP","dyncorp","DYNCORP INC",4119,97.3744975131
"DYNCORP INTERNATIONAL","dyncorp intl","DYNCORP INC",4119,87.3107957419
"DynCorp International LLC","dyncorp intl llc","DYNCORP INTERNATIONAL LLC",187846,100
"DYNEGY INC","dynegy inc","DYNEGY INC",25495,100
"Dynegy Inc.","dynegy inc","DYNEGY INC",25495,100
"DYNEGY INC.","dynegy inc","DYNEGY INC",25495,100
"E-SYSTEMS INC","e systems inc","E-SYSTEMS INC",4159,100
"E I DU PONT DE NEMOURS & COMPANY","e i du pont de nemours & co","DU PONT (E I) DE NEMOURS",4087,97.5815531118
"E I DU PONT DE NEMOURS AND COMPANY","e i du pont de nemours & co","DU PONT (E I) DE NEMOURS",4087,97.5815531118
"E W BLANCH HOLDINGS INC","e w blanch holdings inc","BLANCH E W HOLDINGS INC",28231,100
"E*TRADE Financial Corporation","etrade financial corp","E TRADE FINANCIAL CORP",63501,83.1705414023
"E*TRADE FINANCIAL CORPORATION","etrade financial corp","E TRADE FINANCIAL CORP",63501,83.1705414023
"EARTH RESOURCES COMPANY","earth resources co","EARTH RESOURCES CO",4174,100
"EASTERN AIRLINES INC","eastern airlines inc","CHINA EASTERN AIRLINES CORP",64336,84.6194811352
"EASTMAN CHEM CO DIV/EASTMAN KODAK CO","eastman chem co div eastman kodak co","EASTMAN KODAK CO",4194,87.7129315713
"Eastman Chemical Company","eastman chemical co","EASTMAN CHEMICAL CO",29392,100
"EASTMAN CHEMICAL COMPANY","eastman chemical co","EASTMAN CHEMICAL CO",29392,100
"EASTMAN KODAK CO","eastman kodak co","EASTMAN KODAK CO",4194,100
"Eastman Kodak Company","eastman kodak co","EASTMAN KODAK CO",4194,100
"EASTMAN KODAK COMPANY","eastman kodak co","EASTMAN KODAK CO",4194,100
"EBAY INC","ebay inc","EBAY INC",114524,100
"eBay Inc.","ebay inc","EBAY INC",114524,100
"EBAY, INC.","ebay inc","EBAY INC",114524,100
"ECHLIN INC","echlin inc","ECHLIN INC",4204,100
"ECOLAB INC","ecolab inc","ECOLAB INC",4213,100
"Ecolab Inc.","ecolab inc","ECOLAB INC",4213,100
"ECOLAB INC.","ecolab inc","ECOLAB INC",4213,100
"ECOLOGY & ENVIRONMENT INC","ecology & environment inc","ECOLOGY AND ENVIRONMENT INC",13128,100
"EDISON INTERNATIONAL","edison intl","EDISON INTERNATIONAL",9846,100
"EDISON SCHOOLS INC","edison schools inc","EDISON SCHOOLS INC",126295,100
"EDO CORPORATION","edo corp","EDO CORP",4222,100
"EDUCATION ASS'N: NATIONAL","education assn national","NATIONAL EDUCATION CORP",7727,88.4919950325
"EDUCATION LENDING GROUP INC","education lending group inc","EDUCATION LENDING GROUP INC",112822,100
"EDUCATION MANAGEMENT CORPORATION","education management corp","EDUCATION MANAGEMENT CORP",63907,100
"EDWARD HINES LUMBER COMPANY","edward hines lumber co","HINES (EDWARD) LUMBER CO",5646,100
"EDWARDS","edwards","EDWARDS (A G) INC",4230,87.25373365
"EDWARDS LIFESCIENCES","edwards lifesciences","EDWARDS LIFESCIENCES CORP",133366,98.0685863199
"EHEALTH INC.","ehealth inc","EHEALTH INC",174389,100
"EISAI INC","eisai inc","EISAI CO LTD",100418,89.2045336634
"EISAI INC.","eisai inc","EISAI CO LTD",100418,89.2045336634
"EL PASO COMPANY","el paso co","EL PASO CO",4240,100
"El Paso Corporation","el paso corp","EL PASO CORP",4242,100
"EL PASO CORPORATION","el paso corp","EL PASO CORP",4242,100
"EL PASO ELECTRIC COMPANY","el paso electric co","EL PASO ELECTRIC CO",4241,100
"EL PASO ENERGY CORPORATION","el paso energy corp","EL PASO CORP",4242,83.8713098076
"EL PASO NATURAL GAS COMPANY","el paso natural gas co","EL PASO NATURAL GAS CO",146212,100
"ELECTRO SCIENTIFIC INDUSTRIES INC","electro scientific industries inc","SCIENTIFIC INDUSTRIES INC",9490,84.8632356878
"ELECTROCOM AUTOMATION INC","electrocom automation inc","ELECTROCOM AUTOMATION INC",24882,100
"ELECTROCOM AUTOMATION L P","electrocom automation l p","ELECTROCOM AUTOMATION INC",24882,92.0425029901
"ELECTRONIC DATA SYSTEMS CORP","electronic data systems corp","ELECTRONIC DATA SYSTEMS CORP",5074,100
"ELECTRONICS CORPORATION OF AMERICA","electronics corp of america","ELECTRONICS CORP OF AMERICA",4295,88.076819327
"ELECTROSPACE SYSTEMS INC","electrospace systems inc","ELECTROSPACE SYSTEMS INC",4301,100
"Eli Lilly and Company","eli lilly & co","LILLY (ELI) & CO",6730,100
"ELI LILLY AND COMPANY","eli lilly & co","LILLY (ELI) & CO",6730,100
"ELIZABETHTOWN WATER COMPANY","elizabethtown water co","ELIZABETHTOWN WATER CO",11712,100
"Embarq Corporation","embarq corp","EMBARQ CORP",174130,100
"EMERALD HOMES INC","emerald homes inc","EMERALD HOMES  -LP",13624,89.2269747556
"EMERGENT BIOSOLUTIONS INC","emergent biosolutions inc","EMERGENT BIOSOLUTIONS INC",176022,100
"Emerson Electric Co.","emerson electric co","EMERSON ELECTRIC CO",4321,100
"EMERSON ELECTRIC CO.","emerson electric co","EMERSON ELECTRIC CO",4321,100
"EMERSON ELECTRIC COMPANY","emerson electric co","EMERSON ELECTRIC CO",4321,100
"EMPIRE BANK","empire bank","EMPIRE BANCORP INC",179552,81.6803019731
"EMPIRE DISTRICT ELECTRIC COMPANY","empire district electric co","EMPIRE DISTRICT ELECTRIC CO",4331,100
"ENCORE CAPITAL GROUP, INC.","encore capital group inc","ENCORE CAPITAL GROUP INC",121815,100
"Energen Corporation","energen corp","ENERGEN CORP",4351,100
"ENERGEN CORPORATION","energen corp","ENERGEN CORP",4351,100
"ENERGY CONVERSION DEVICES INC","energy conversion devices inc","ENERGY CONVERSION DEV",4352,82.3969267012
"ENERGY CORPORATION","energy corp","NAL ENERGY CORP",107505,85.8350863008
"Energy East Corporation","energy east corp","ENERGY EAST CORP",7862,100
"ENERGY EAST CORPORATION","energy east corp","ENERGY EAST CORP",7862,100
"ENERGY FUTURE HOLDINGS CORP","energy future holdings corp","ENERGY FUTURE HOLDINGS CORP",10507,100
"Energy Future Holdings Corp.","energy future holdings corp","ENERGY FUTURE HOLDINGS CORP",10507,100
"ENERGY FUTURE HOLDINGS CORP.","energy future holdings corp","ENERGY FUTURE HOLDINGS CORP",10507,100
"ENERGY RESEARCH CORPORATION","energy research corp","ENERGY SEARCH INC",64409,82.2628212016
"ENERGY TRANSFER PARTNERS LP","energy transfer partners lp","ENERGY TRANSFER PARTNERS -LP",141720,100
"ENERGY TRANSFER PARTNERS, L.P.","energy transfer partners lp","ENERGY TRANSFER PARTNERS -LP",141720,100
"EnergySolutions LLC","energysolutions llc","ENERGYSOLUTIONS INC",178846,89.4296136418
"EnergySolutions, Inc.","energysolutions inc","ENERGYSOLUTIONS INC",178846,100
"ENERGYSOLUTIONS, INC.","energysolutions inc","ENERGYSOLUTIONS INC",178846,100
"ENERGYSOUTH","energysouth","ENERGYSOUTH INC",66404,98.5575823221
"ENGINEERED SUPPORT SYSTEMS INC","engineered support systems inc","ENGINEERED SUPPORT SYSTEMS",4372,99.2842811463
"ENGINEERING-SCIENCE INC","engineering science inc","AMERICAN SCIENCE ENGINEERING",1554,89.5797438281
"ENGLISH CHINA CLAYS INC","english china clays inc","ENGLISH CHINA CLAYS PLC",14287,92.3314827027
"ENPRO INDUSTRIES INC","enpro industries inc","ENPRO INDUSTRIES INC",148950,100
"ENPRO INDUSTRIES, INC.","enpro industries inc","ENPRO INDUSTRIES INC",148950,100
"Enron Corp","enron corp","ENRON CORP",6127,100
"ENRON CORP","enron corp","ENRON CORP",6127,100
"ENSCO-ENVIRONMENTAL SYSTEMS COMPANY","ensco environmental systems co","ENVIRONMENTAL SYSTEMS CO",4414,89.7664339165
"ENTERGY CORPORATION","entergy corp","ENTERGY CORP",7366,100
"ENTERGY MISSISSIPPI INC","entergy mississippi inc","ENTERGY MISSISSSIPPI",7449,92.6248563949
"ENTERPRISE HOLDINGS, INC.","enterprise holdings inc","CT HOLDINGS ENTERPRISES INC",22822,83.4102263393
"ENTEX INC","entex inc","ENTEX INC",4404,100
"ENTRUST INC","entrust inc","ENTRUST INC",113609,100
"ENVIRONMENTAL ELEMENTS CORPORATION","environmental elements corp","ENVIRONMENTAL ELEMENTS CORP",22619,100
"ENVIROSOURCE INC","envirosource inc","ENVIROSOURCE INC",7967,100
"ENVIROTECH CORPORATION","envirotech corp","ENVIROTECH CORP",4417,100
"EPIC HEALTHCARE GROUP INC","epic healthcare group inc","EPIC HEALTHCARE GROUP INC",20768,100
"EQT CORPORATION","eqt corp","EQT CORP",4430,100
"EQUIFAX INC","equifax inc","EQUIFAX INC",4423,100
"Equifax Inc,","equifax inc","EQUIFAX INC",4423,100
"EQUIFAX INC,","equifax inc","EQUIFAX INC",4423,100
"EQUIMARK CORPORATION","equimark corp","EQUIMARK CORP",4425,100
"EQUITABLE BANCORPORATION","equitable bancorporation","EQUITABLE BANCORPORATION",4428,100
"EQUITABLE FINANCIAL SERVICES","equitable financial services","EQUITABLE FINANCIAL CORP",165513,84.0445992211
"EQUITEC FINANCIAL GROUP INC","equitec financial group inc","EQUITEC FINANCIAL GROUP INC",4431,100
"Erie Indemnity Company","erie indemnity co","ERIE INDEMNITY CO  -CL A",61380,92.6933551989
"ERIE INDEMNITY COMPANY","erie indemnity co","ERIE INDEMNITY CO  -CL A",61380,92.6933551989
"ESCHELON TELECOM INC","eschelon telecom inc","ESCHELON TELECOM INC",164002,100
"Eschelon Telecom Inc.","eschelon telecom inc","ESCHELON TELECOM INC",164002,100
"ESMARK INC","esmark inc","ESMARK INC",178971,100
"EUROPEAN AMERICAN BANK","european american bank","EUROPEAN-AMERICAN BANK",24362,100
"EVEREN CAPITAL CORPORATION","everen capital corp","EVEREN CAPITAL CORP",63731,100
"EVERSOURCE ENERGY","eversource energy","EVERSOURCE ENERGY",7970,100
"EX-CELL-O CORPORATION","ex cell o corp","EX-CELL-O CORP",4475,100
"EXCEL COMMUNICATIONS INC","excel communications inc","EXCEL COMMUNICATIONS INC",62831,100
"EXCHANGE INTERNATIONAL CORPORATION","exchange intl corp","EXCHANGE INCOME CORP",152011,82.5544358237
"EXCO RESOURCES INC","exco resources inc","EXCO RESOURCES INC",7422,100
"Exelon Corporation","exelon corp","EXELON CORP",8539,100
"EXELON CORPORATION","exelon corp","EXELON CORP",8539,100
"EXPEDIA INC","expedia inc","EXPEDIA INC",126296,100
"EXPEDIA, INC.","expedia inc","EXPEDIA INC",126296,100
"EXPRESS SCRIPTS INC","express scripts inc","EXPRESS SCRIPTS HOLDING CO",25356,88.858145838
"Express Scripts Inc.","express scripts inc","EXPRESS SCRIPTS HOLDING CO",25356,88.858145838
"EXPRESS SCRIPTS INC. POLITICAL FUND (A/K/A EXPRESS SCRIPTS PAC)","express scripts inc political fund a k a express scripts pac","EXPRESS SCRIPTS HOLDING CO",25356,81.4710037577
"EXPRESS SCRIPTS, INC","express scripts inc","EXPRESS SCRIPTS HOLDING CO",25356,88.858145838
"EXPRESS SCRIPTS, INC.","express scripts inc","EXPRESS SCRIPTS HOLDING CO",25356,88.858145838
"Exxon Mobil Corporation","exxon mobil corp","EXXON MOBIL CORP",4503,100
"EXXON MOBIL CORPORATION","exxon mobil corp","EXXON MOBIL CORP",4503,100
"ExxonMobil Corporation","exxonmobil corp","EXXON MOBIL CORP",4503,84.4751143262
"EZCORP INC","ezcorp inc","EZCORP INC  -CL A",24430,90.0621168055
"EZCORP, INC.","ezcorp inc","EZCORP INC  -CL A",24430,90.0621168055
"FACEBOOK INC.","facebook inc","FACEBOOK INC",170617,100
"FACET ENTERPRISES INC","facet enterprises inc","FACET ENTERPRISES",4535,98.9133904752
"FAIRCHILD INDUSTRIES INC","fairchild industries inc","FAIRCHILD INDUSTRIES INC",4545,100
"FAIRPOINT COMMUNICATIONS INC","fairpoint communications inc","FAIRPOINT COMMUNICATIONS INC",148217,100
"FAIRPOINT COMMUNICATIONS, INC.","fairpoint communications inc","FAIRPOINT COMMUNICATIONS INC",148217,100
"FAMILYMEDS INC","familymeds inc","FAMILYMEDS GROUP INC",162378,91.3250205521
"FARM & HOME SAVINGS ASS'N","farm & home savings assn","FARM & HOME SAVINGS ASSN",16231,100
"FARMERS AND MERCHANTS BANCORP INC","farmers & merchants bancorp inc","FARMERS & MERCHANTS BANCORP",31358,99.0746830492
"FARMERS GROUP INC","farmers group inc","FARMERS GROUP INC",4581,100
"FARMERS GROUP INC.","farmers group inc","FARMERS GROUP INC",4581,100
"FARMERS GROUP, INC.","farmers group inc","FARMERS GROUP INC",4581,100
"FARMLAND INDUSTRIES INC","farmland industries inc","FARMLAND INDUSTRIES INC",4584,100
"FARREL CORPORATION","farrel corp","FARREL CORP",24846,100
"FBL FINANCIAL GROUP INC","fbl financial group inc","FBL FINANCIAL GROUP INC-CL A",63288,93.1875272815
"FBL Financial Group Inc.","fbl financial group inc","FBL FINANCIAL GROUP INC-CL A",63288,93.1875272815
"FBL Financial Group Inc. PAC","fbl financial group inc pac","FBL FINANCIAL GROUP INC-CL A",63288,87.9597375271
"FBL FINANCIAL GROUP INC. PAC","fbl financial group inc pac","FBL FINANCIAL GROUP INC-CL A",63288,87.9597375271
"FBL FINANCIAL GROUP, INC.","fbl financial group inc","FBL FINANCIAL GROUP INC-CL A",63288,93.1875272815
"FEDERAL-MOGUL CORPORATION","federal mogul corp","FEDERAL-MOGUL HOLDINGS CORP",4600,87.9297831452
"Federal Express Corporation","federal express corp","FEDERAL EXPRESS CORP",115336,100
"FEDERAL EXPRESS CORPORATION","federal express corp","FEDERAL EXPRESS CORP",115336,100
"Federal Home Loan Mortgage Corporation","federal home loan mortgage corp","FEDERAL HOME LOAN MORTG CORP",15208,84.5757960532
"FEDERAL HOME LOAN MORTGAGE CORPORATION","federal home loan mortgage corp","FEDERAL HOME LOAN MORTG CORP",15208,84.5757960532
"FEDERAL PAPER BOARD CO INC","federal paper board co inc","FEDERAL PAPER BOARD CO",4603,99.0083200691
"Federal Signal Corporation","federal signal corp","FEDERAL SIGNAL CORP",4608,100
"FEDERAL SIGNAL CORPORATION","federal signal corp","FEDERAL SIGNAL CORP",4608,100
"FEDEX CORPORATION","fedex corp","FEDEX CORP",4598,100
"FIBREBOARD CORPORATION","fibreboard corp","FIBREBOARD CORP",14952,100
"FIDELCOR INC","fidelcor inc","FIDELCOR",4631,98.0869940103
"FIDELITY UNION BANCORPORATION","fidelity union bancorporation","FIDELITY UNION BANCORP",4633,85.3110187434
"FIFTH THIRD BANCORP","fifth third bancorp","FIFTH THIRD BANCORP",4640,100
"FINANCEAMERICA CORP","financeamerica corp","FINANCEAMERICA CORP",4651,100
"FINGERHUT COMPANIES INC","fingerhut companies inc","FINGERHUT COMPANIES INC",21491,100
"FINISAR CORPORATION","finisar corp","FINISAR CORP",126417,100
"FIRST ADVANTAGE CORPORATION","first advantage corp","FIRST ADVANTAGE CORP",154254,100
"FIRST AMERICAN CORPORATION","first american corp","AMERICAN FIRST CORP",14903,100
"FIRST AMERICAN FINANCIAL CORPORATION","first american financial corp","FIRST AMERICAN FINANCIAL CP",184899,90.3352693047
"FIRST ATLANTA CORPORATION","first atlanta corp","FIRST ATLANTA CORP",4677,100
"FIRST BANK","first bank","FIRST BANK",177009,100
"FIRST BOSTON CORPORATION","first boston corp","FIRST BOSTON INC",4684,94.3133800502
"FIRST BOSTON CORPORATION; THE","first boston corp the","FIRST BOSTON INC",4684,85.0688663975
"FIRST CHARTER FINANCIAL CORPORATION","first charter financial corp","FIRST CHARTER FINANCIAL",4688,97.3063758704
"FIRST CHICAGO CORPORATION","first chicago corp","FIRST CHICAGO CORP",4689,100
"FIRST CHICAGO NBD CORP","first chicago nbd corp","FIRST CHICAGO NBD CORP",7650,100
"FIRST CHICAGO NBD CORPORATION","first chicago nbd corp","FIRST CHICAGO NBD CORP",7650,100
"FIRST CITIZENS BANCORPORATION INC","first citizens bancorporation inc","FIRST CITIZENS BANCORP INC",18332,85.739560365
"FIRST CITIZENS BANCSHARES INC","first citizens bancshares inc","CITIZENS BANCSHARES CORP",120038,86.9422625805
"First Citizens BancShares Inc.","first citizens bancshares inc","CITIZENS BANCSHARES CORP",120038,86.9422625805
"FIRST CITIZENS BANCSHARES, INC.","first citizens bancshares inc","CITIZENS BANCSHARES CORP",120038,86.9422625805
"FIRST COLONIAL BANKSHARES","first colonial bankshares","FIRST COLONIAL BANKSHARES CP",16811,94.4140457942
